year,OCC_CODE,OCC_TITLE,TOT_EMP,H_MEAN,A_MEAN,total employment,EMP_SHR
2017,11-1000,Top Executives,2473740,61.55,128020.0,427647420,0.00578453156574638
2017,11-1010,Chief Executives,210160,94.25,196050.0,427647420,0.0004914328724349605
2017,11-1011,Chief Executives,210160,94.25,196050.0,427647420,0.0004914328724349605
2017,11-1020,General and Operations Managers,2212200,59.35,123460.0,427647420,0.005172952990105728
2017,11-1021,General and Operations Managers,2212200,59.35,123460.0,427647420,0.005172952990105728
2017,11-1030,Legislators,51380,,46350.0,427647420,0.0001201457032056922
2017,11-1031,Legislators,51380,,46350.0,427647420,0.0001201457032056922
2017,11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",685780,66.66,138650.0,427647420,0.0016036107501829428
2017,11-2010,Advertising and Promotions Managers,28100,59.56,123880.0,427647420,6.570833515141983e-05
2017,11-2011,Advertising and Promotions Managers,28100,59.56,123880.0,427647420,6.570833515141983e-05
2017,11-2020,Marketing and Sales Managers,590380,67.6,140600.0,427647420,0.0013805297831564142
2017,11-2021,Marketing Managers,218970,70.01,145620.0,427647420,0.0005120339554486263
2017,11-2022,Sales Managers,371410,66.18,137650.0,427647420,0.0008684958277077879
2017,11-2030,Public Relations and Fundraising Managers,67300,61.39,127690.0,427647420,0.0001573726318751087
2017,11-2031,Public Relations and Fundraising Managers,67300,61.39,127690.0,427647420,0.0001573726318751087
2017,11-3000,Operations Specialties Managers,1752130,62.24,129450.0,427647420,0.0040971368423080865
2017,11-3010,Administrative Services Managers,270100,49.7,103380.0,427647420,0.0006315950649252134
2017,11-3011,Administrative Services Managers,270100,49.7,103380.0,427647420,0.0006315950649252134
2017,11-3020,Computer and Information Systems Managers,365690,71.99,149730.0,427647420,0.0008551203231858619
2017,11-3021,Computer and Information Systems Managers,365690,71.99,149730.0,427647420,0.0008551203231858619
2017,11-3030,Financial Managers,569380,69.01,143530.0,427647420,0.001331423909911581
2017,11-3031,Financial Managers,569380,69.01,143530.0,427647420,0.001331423909911581
2017,11-3050,Industrial Production Managers,171520,53.16,110580.0,427647420,0.0004010780656644672
2017,11-3051,Industrial Production Managers,171520,53.16,110580.0,427647420,0.0004010780656644672
2017,11-3060,Purchasing Managers,70430,58.56,121810.0,427647420,0.0001646917453635053
2017,11-3061,Purchasing Managers,70430,58.56,121810.0,427647420,0.0001646917453635053
2017,11-3070,"Transportation, Storage, and Distribution Managers",118680,48.43,100740.0,427647420,0.0002775183350808009
2017,11-3071,"Transportation, Storage, and Distribution Managers",118680,48.43,100740.0,427647420,0.0002775183350808009
2017,11-3110,Compensation and Benefits Managers,15520,62.5,130010.0,427647420,3.629157870284825e-05
2017,11-3111,Compensation and Benefits Managers,15520,62.5,130010.0,427647420,3.629157870284825e-05
2017,11-3120,Human Resources Managers,136310,59.38,123510.0,427647420,0.0003187438848572967
2017,11-3121,Human Resources Managers,136310,59.38,123510.0,427647420,0.0003187438848572967
2017,11-3130,Training and Development Managers,34500,56.58,117690.0,427647420,8.067393461651189e-05
2017,11-3131,Training and Development Managers,34500,56.58,117690.0,427647420,8.067393461651189e-05
2017,11-9000,Other Management Occupations,2368680,47.57,98940.0,427647420,0.0055388618970272285
2017,11-9010,"Farmers, Ranchers, and Other Agricultural Managers",4610,38.62,80320.0,427647420,1.0779908364699126e-05
2017,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",4610,38.62,80320.0,427647420,1.0779908364699126e-05
2017,11-9020,Construction Managers,263480,48.56,101000.0,427647420,0.0006161150229785088
2017,11-9021,Construction Managers,263480,48.56,101000.0,427647420,0.0006161150229785088
2017,11-9030,Education Administrators,477750,45.8,95270.0,427647420,0.0011171586163199582
2017,11-9031,"Education Administrators, Preschool and Childcare Center/Program",49130,25.74,53550.0,427647420,0.00011488435964374578
2017,11-9032,"Education Administrators, Elementary and Secondary School",250280,,97440.0,427647420,0.0005852484740817564
2017,11-9033,"Education Administrators, Postsecondary",142160,51.77,107670.0,427647420,0.0003324233781183574
2017,11-9039,"Education Administrators, All Other",36190,42.42,88240.0,427647420,8.462578822526277e-05
2017,11-9040,Architectural and Engineering Managers,179990,70.33,146290.0,427647420,0.00042088410120655003
2017,11-9041,Architectural and Engineering Managers,179990,70.33,146290.0,427647420,0.00042088410120655003
2017,11-9050,Food Service Managers,208110,27.52,57250.0,427647420,0.00048663920385629824
2017,11-9051,Food Service Managers,208110,27.52,57250.0,427647420,0.00048663920385629824
2017,11-9060,Funeral Service Managers,8350,44.76,93090.0,427647420,1.9525430552112297e-05
2017,11-9061,Funeral Service Managers,8350,44.76,93090.0,427647420,1.9525430552112297e-05
2017,11-9070,Gaming Managers,4420,40.12,83460.0,427647420,1.0335617130579205e-05
2017,11-9071,Gaming Managers,4420,40.12,83460.0,427647420,1.0335617130579205e-05
2017,11-9080,Lodging Managers,36610,28.67,59620.0,427647420,8.560790569015943e-05
2017,11-9081,Lodging Managers,36610,28.67,59620.0,427647420,8.560790569015943e-05
2017,11-9110,Medical and Health Services Managers,346980,53.69,111680.0,427647420,0.0008113693284996317
2017,11-9111,Medical and Health Services Managers,346980,53.69,111680.0,427647420,0.0008113693284996317
2017,11-9120,Natural Sciences Managers,56210,64.26,133670.0,427647420,0.00013144005405200387
2017,11-9121,Natural Sciences Managers,56210,64.26,133670.0,427647420,0.00013144005405200387
2017,11-9130,Postmasters and Mail Superintendents,13960,36.38,75660.0,427647420,3.264371383323206e-05
2017,11-9131,Postmasters and Mail Superintendents,13960,36.38,75660.0,427647420,3.264371383323206e-05
2017,11-9140,"Property, Real Estate, and Community Association Managers",186720,34.79,72370.0,427647420,0.00043662136439406087
2017,11-9141,"Property, Real Estate, and Community Association Managers",186720,34.79,72370.0,427647420,0.00043662136439406087
2017,11-9150,Social and Community Service Managers,141830,33.91,70530.0,427647420,0.0003316517143959386
2017,11-9151,Social and Community Service Managers,141830,33.91,70530.0,427647420,0.0003316517143959386
2017,11-9160,Emergency Management Directors,9560,39.01,81140.0,427647420,2.2354864200981267e-05
2017,11-9161,Emergency Management Directors,9560,39.01,81140.0,427647420,2.2354864200981267e-05
2017,11-9190,Miscellaneous Managers,430120,54.41,113180.0,427647420,0.0010057818190508433
2017,11-9199,"Managers, All Other",430120,54.41,113180.0,427647420,0.0010057818190508433
2017,13-1000,Business Operations Specialists,4811530,35.14,73080.0,427647420,0.011251161061605376
2017,13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",15450,43.69,90870.0,427647420,3.61278924586988e-05
2017,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",15450,43.69,90870.0,427647420,3.61278924586988e-05
2017,13-1020,Buyers and Purchasing Agents,827080,32.19,66960.0,427647420,0.0019340231258731784
2017,13-1030,"Claims Adjusters, Appraisers, Examiners, and Investigators",298170,31.85,66250.0,427647420,0.0006972332488291406
2017,13-1031,"Claims Adjusters, Examiners, and Investigators",282030,31.89,66340.0,427647420,0.0006594918776781115
2017,13-1032,"Insurance Appraisers, Auto Damage",16150,31.1,64680.0,427647420,3.7764754900193245e-05
2017,13-1040,Compliance Officers,287130,34.39,71540.0,427647420,0.0006714175897518568
2017,13-1041,Compliance Officers,287130,34.39,71540.0,427647420,0.0006714175897518568
2017,13-1050,Cost Estimators,210900,32.9,68420.0,427647420,0.0004931632698731118
2017,13-1051,Cost Estimators,210900,32.9,68420.0,427647420,0.0004931632698731118
